APVA Structural Forecast Study v0.1
====================================================================================================
Diagnostics
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
Node count: 41
Forecast count: 141029

1. One-Step Forecast
CurrentNode | ForecastNode | ForecastProbability | ForecastConfidence | ActualNode | Correct
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 56.51% | 41.61% | NeutralProcessing_Age2 | True
NeutralProcessing_Age2 | NeutralProcessing_Age3 | 54.73% | 36.85% | ReassertionProcessing_Age1 | False
ReassertionProcessing_Age1 | NeutralProcessing_Age1 | 41.39% | 9.55% | NeutralProcessing_Age1 | True
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 56.51% | 41.61% | NeutralProcessing_Age2 | True
NeutralProcessing_Age2 | NeutralProcessing_Age3 | 54.73% | 36.85% | ReassertionProcessing_Age1 | False
ReassertionProcessing_Age1 | NeutralProcessing_Age1 | 41.39% | 9.55% | NeutralProcessing_Age1 | True
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 56.51% | 41.61% | NeutralProcessing_Age2 | True
NeutralProcessing_Age2 | NeutralProcessing_Age3 | 54.73% | 36.85% | ReassertionProcessing_Age1 | False
ReassertionProcessing_Age1 | NeutralProcessing_Age1 | 41.39% | 9.55% | ReassertionProcessing_Age2 | False
ReassertionProcessing_Age2 | DestructiveRotation_Age1 | 45.99% | 2.53% | NeutralProcessing_Age1 | False
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 56.51% | 41.61% | NeutralProcessing_Age2 | True
NeutralProcessing_Age2 | NeutralProcessing_Age3 | 54.73% | 36.85% | DestructiveRotation_Age1 | False
DestructiveRotation_Age1 | DecayToNeutral_Age1 | 29.78% | 2.51% | ExhaustionPersistence_Age1 | False
ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 27.24% | 6.00% | NeutralProcessing_Age1 | False
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 56.51% | 41.61% | NeutralProcessing_Age2 | True
NeutralProcessing_Age2 | NeutralProcessing_Age3 | 54.73% | 36.85% | NeutralProcessing_Age3 | True
NeutralProcessing_Age3 | NeutralProcessing_Age4 | 74.80% | 63.85% | MixedStructure_Age1 | False
MixedStructure_Age1 | NeutralProcessing_Age1 | 37.35% | 17.06% | CompressionProcessing_Age1 | False
CompressionProcessing_Age1 | CompressionProcessing_Age2 | 56.66% | 26.23% | NeutralProcessing_Age1 | False
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 56.51% | 41.61% | NeutralProcessing_Age2 | True
NeutralProcessing_Age2 | NeutralProcessing_Age3 | 54.73% | 36.85% | CompressionProcessing_Age1 | False
CompressionProcessing_Age1 | CompressionProcessing_Age2 | 56.66% | 26.23% | ExhaustionPersistence_Age1 | False
ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 27.24% | 6.00% | NeutralProcessing_Age1 | False
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 56.51% | 41.61% | NeutralProcessing_Age2 | True
NeutralProcessing_Age2 | NeutralProcessing_Age3 | 54.73% | 36.85% | DestructiveRotation_Age1 | False
DestructiveRotation_Age1 | DecayToNeutral_Age1 | 29.78% | 2.51% | ExhaustionPersistence_Age1 | False
ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 27.24% | 6.00% | RecoveryResolution_Age1 | False
RecoveryResolution_Age1 | CompressionProcessing_Age1 | 56.26% | 24.84% | RecoveryResolution_Age2 | False
RecoveryResolution_Age2 | RecoveryResolution_Age3 | 74.04% | 48.08% | RecoveryResolution_Age3 | True
RecoveryResolution_Age3 | CompressionProcessing_Age1 | 68.92% | 56.57% | ExhaustionPersistence_Age1 | False
ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 27.24% | 6.00% | RecoveryResolution_Age1 | False
RecoveryResolution_Age1 | CompressionProcessing_Age1 | 56.26% | 24.84% | RecoveryResolution_Age2 | False
RecoveryResolution_Age2 | RecoveryResolution_Age3 | 74.04% | 48.08% | RecoveryResolution_Age3 | True
RecoveryResolution_Age3 | CompressionProcessing_Age1 | 68.92% | 56.57% | CompressionProcessing_Age1 | True
CompressionProcessing_Age1 | CompressionProcessing_Age2 | 56.66% | 26.23% | CompressionProcessing_Age2 | True
CompressionProcessing_Age2 | CompressionProcessing_Age3 | 50.63% | 17.54% | CompressionProcessing_Age3 | True
CompressionProcessing_Age3 | CompressionProcessing_Age4 | 62.86% | 41.79% | CompressionProcessing_Age4 | True
CompressionProcessing_Age4 | CompressionProcessing_Age5 | 53.41% | 26.52% | NeutralProcessing_Age1 | False
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 56.51% | 41.61% | NeutralProcessing_Age2 | True
NeutralProcessing_Age2 | NeutralProcessing_Age3 | 54.73% | 36.85% | NeutralProcessing_Age3 | True
NeutralProcessing_Age3 | NeutralProcessing_Age4 | 74.80% | 63.85% | NeutralProcessing_Age4 | True
NeutralProcessing_Age4 | NeutralProcessing_Age5 | 90.85% | 88.41% | RecoveryResolution_Age1 | False
RecoveryResolution_Age1 | CompressionProcessing_Age1 | 56.26% | 24.84% | NeutralProcessing_Age1 | False
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 56.51% | 41.61% | CompressionProcessing_Age1 | False
CompressionProcessing_Age1 | CompressionProcessing_Age2 | 56.66% | 26.23% | ExhaustionPersistence_Age1 | False
ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 27.24% | 6.00% | ExhaustionPersistence_Age2 | True
ExhaustionPersistence_Age2 | ExhaustionPersistence_Age3 | 76.97% | 54.93% | ExhaustionPersistence_Age3 | True
ExhaustionPersistence_Age3 | ExhaustionPersistence_Age4 | 61.11% | 30.77% | NeutralProcessing_Age1 | False
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 56.51% | 41.61% | DestructiveRotation_Age1 | False
DestructiveRotation_Age1 | DecayToNeutral_Age1 | 29.78% | 2.51% | MixedStructure_Age1 | False
MixedStructure_Age1 | NeutralProcessing_Age1 | 37.35% | 17.06% | ExhaustionPersistence_Age1 | False
ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 27.24% | 6.00% | DecayToNeutral_Age1 | False
DecayToNeutral_Age1 | NeutralProcessing_Age1 | 54.58% | 26.11% | DestructiveRotation_Age1 | False
DestructiveRotation_Age1 | DecayToNeutral_Age1 | 29.78% | 2.51% | ExhaustionPersistence_Age1 | False
ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 27.24% | 6.00% | DecayToNeutral_Age1 | False
DecayToNeutral_Age1 | NeutralProcessing_Age1 | 54.58% | 26.11% | DestructiveRotation_Age1 | False
DestructiveRotation_Age1 | DecayToNeutral_Age1 | 29.78% | 2.51% | DecayToNeutral_Age1 | True
DecayToNeutral_Age1 | NeutralProcessing_Age1 | 54.58% | 26.11% | CompressionProcessing_Age1 | False
CompressionProcessing_Age1 | CompressionProcessing_Age2 | 56.66% | 26.23% | CompressionProcessing_Age2 | True
CompressionProcessing_Age2 | CompressionProcessing_Age3 | 50.63% | 17.54% | CompressionProcessing_Age3 | True
CompressionProcessing_Age3 | CompressionProcessing_Age4 | 62.86% | 41.79% | ExhaustionPersistence_Age1 | False
ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 27.24% | 6.00% | CompressionProcessing_Age1 | False
CompressionProcessing_Age1 | CompressionProcessing_Age2 | 56.66% | 26.23% | NeutralProcessing_Age1 | False
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 56.51% | 41.61% | NeutralProcessing_Age2 | True
NeutralProcessing_Age2 | NeutralProcessing_Age3 | 54.73% | 36.85% | NeutralProcessing_Age3 | True
NeutralProcessing_Age3 | NeutralProcessing_Age4 | 74.80% | 63.85% | NeutralProcessing_Age4 | True
NeutralProcessing_Age4 | NeutralProcessing_Age5 | 90.85% | 88.41% | NeutralProcessing_Age5 | True
NeutralProcessing_Age5 | NeutralProcessing_Age6-10 | 81.21% | 75.00% | ReassertionProcessing_Age1 | False
ReassertionProcessing_Age1 | NeutralProcessing_Age1 | 41.39% | 9.55% | MixedStructure_Age1 | False
MixedStructure_Age1 | NeutralProcessing_Age1 | 37.35% | 17.06% | ConstructiveEmergence_Age1 | False
ConstructiveEmergence_Age1 | MixedStructure_Age1 | 46.99% | 14.46% | MixedStructure_Age1 | True
MixedStructure_Age1 | NeutralProcessing_Age1 | 37.35% | 17.06% | NeutralProcessing_Age1 | True
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 56.51% | 41.61% | NeutralProcessing_Age2 | True
NeutralProcessing_Age2 | NeutralProcessing_Age3 | 54.73% | 36.85% | NeutralProcessing_Age3 | True
NeutralProcessing_Age3 | NeutralProcessing_Age4 | 74.80% | 63.85% | NeutralProcessing_Age4 | True
NeutralProcessing_Age4 | NeutralProcessing_Age5 | 90.85% | 88.41% | NeutralProcessing_Age5 | True
