APVA Structural Forecast Study v0.1
====================================================================================================
Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
Node count: 35
Forecast count: 10725

1. One-Step Forecast
CurrentNode | ForecastNode | ForecastProbability | ForecastConfidence | ActualNode | Correct
NeutralProcessing_Age3 | NeutralProcessing_Age4 | 75.71% | 65.00% | NeutralProcessing_Age4 | True
NeutralProcessing_Age4 | NeutralProcessing_Age5 | 89.62% | 85.85% | NeutralProcessing_Age5 | True
NeutralProcessing_Age5 | NeutralProcessing_Age6-10 | 78.95% | 68.42% | NeutralProcessing_Age6-10 | True
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 63.94% | 49.04% | NeutralProcessing_Age6-10 | True
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 63.94% | 49.04% | MixedStructure_Age1 | False
MixedStructure_Age1 | NeutralProcessing_Age1 | 41.22% | 25.45% | RecoveryResolution_Age1 | False
RecoveryResolution_Age1 | CompressionProcessing_Age1 | 48.94% | 8.51% | CompressionProcessing_Age1 | True
CompressionProcessing_Age1 | CompressionProcessing_Age2 | 51.98% | 20.34% | CompressionProcessing_Age2 | True
CompressionProcessing_Age2 | CompressionProcessing_Age3 | 44.57% | 8.70% | NeutralProcessing_Age1 | False
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 56.85% | 42.02% | NeutralProcessing_Age2 | True
NeutralProcessing_Age2 | NeutralProcessing_Age3 | 55.34% | 33.99% | NeutralProcessing_Age3 | True
NeutralProcessing_Age3 | NeutralProcessing_Age4 | 75.71% | 65.00% | NeutralProcessing_Age4 | True
NeutralProcessing_Age4 | NeutralProcessing_Age5 | 89.62% | 85.85% | NeutralProcessing_Age5 | True
NeutralProcessing_Age5 | NeutralProcessing_Age6-10 | 78.95% | 68.42% | NeutralProcessing_Age6-10 | True
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 63.94% | 49.04% | NeutralProcessing_Age6-10 | True
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 63.94% | 49.04% | NeutralProcessing_Age6-10 | True
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 63.94% | 49.04% | NeutralProcessing_Age6-10 | True
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 63.94% | 49.04% | MixedStructure_Age1 | False
MixedStructure_Age1 | NeutralProcessing_Age1 | 41.22% | 25.45% | ConstructiveEmergence_Age1 | False
ConstructiveEmergence_Age1 | MixedStructure_Age1 | 41.67% | 8.33% | MixedStructure_Age1 | True
MixedStructure_Age1 | NeutralProcessing_Age1 | 41.22% | 25.45% | DecayToNeutral_Age1 | False
DecayToNeutral_Age1 | NeutralProcessing_Age1 | 61.17% | 35.92% | MixedStructure_Age1 | False
MixedStructure_Age1 | NeutralProcessing_Age1 | 41.22% | 25.45% | DecayToNeutral_Age1 | False
DecayToNeutral_Age1 | NeutralProcessing_Age1 | 61.17% | 35.92% | NeutralProcessing_Age1 | True
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 56.85% | 42.02% | NeutralProcessing_Age2 | True
NeutralProcessing_Age2 | NeutralProcessing_Age3 | 55.34% | 33.99% | NeutralProcessing_Age3 | True
NeutralProcessing_Age3 | NeutralProcessing_Age4 | 75.71% | 65.00% | NeutralProcessing_Age4 | True
NeutralProcessing_Age4 | NeutralProcessing_Age5 | 89.62% | 85.85% | ReassertionProcessing_Age1 | False
ReassertionProcessing_Age1 | MixedStructure_Age1 | 37.93% | 4.60% | NeutralProcessing_Age1 | False
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 56.85% | 42.02% | ReassertionProcessing_Age1 | False
ReassertionProcessing_Age1 | MixedStructure_Age1 | 37.93% | 4.60% | DestructiveRotation_Age1 | False
DestructiveRotation_Age1 | NeutralProcessing_Age1 | 35.21% | 7.04% | ReassertionProcessing_Age1 | False
ReassertionProcessing_Age1 | MixedStructure_Age1 | 37.93% | 4.60% | MixedStructure_Age1 | True
MixedStructure_Age1 | NeutralProcessing_Age1 | 41.22% | 25.45% | NeutralProcessing_Age1 | True
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 56.85% | 42.02% | NeutralProcessing_Age2 | True
NeutralProcessing_Age2 | NeutralProcessing_Age3 | 55.34% | 33.99% | NeutralProcessing_Age3 | True
NeutralProcessing_Age3 | NeutralProcessing_Age4 | 75.71% | 65.00% | NeutralProcessing_Age4 | True
NeutralProcessing_Age4 | NeutralProcessing_Age5 | 89.62% | 85.85% | NeutralProcessing_Age5 | True
NeutralProcessing_Age5 | NeutralProcessing_Age6-10 | 78.95% | 68.42% | NeutralProcessing_Age6-10 | True
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 63.94% | 49.04% | NeutralProcessing_Age6-10 | True
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 63.94% | 49.04% | MixedStructure_Age1 | False
MixedStructure_Age1 | NeutralProcessing_Age1 | 41.22% | 25.45% | DecayToNeutral_Age1 | False
DecayToNeutral_Age1 | NeutralProcessing_Age1 | 61.17% | 35.92% | MixedStructure_Age1 | False
MixedStructure_Age1 | NeutralProcessing_Age1 | 41.22% | 25.45% | DecayToNeutral_Age1 | False
DecayToNeutral_Age1 | NeutralProcessing_Age1 | 61.17% | 35.92% | NeutralProcessing_Age1 | True
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 56.85% | 42.02% | MixedStructure_Age1 | False
MixedStructure_Age1 | NeutralProcessing_Age1 | 41.22% | 25.45% | NeutralProcessing_Age1 | True
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 56.85% | 42.02% | MixedStructure_Age1 | False
MixedStructure_Age1 | NeutralProcessing_Age1 | 41.22% | 25.45% | DecayToNeutral_Age1 | False
