Metric,Generated,CompareTo,Matches,Detail
RowCount,6454,55806,False,
ColumnOrder,"Instrument,File,BarIndex,Time,MacroState,Quadruplet,ResolvedArchetype,ResolutionMethod,Similarity,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingDirectionalPresence,CurrentDirectionalEmergence,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue,Open,High,Low,Close,ActiveDirection,DirectionSign,PrevClose,TR,ATR14,HorizonBars,FutureClose,RawReturn,NormalizedReturn,SignedReturn,SignedNormalizedReturn,DirectionalMFE,DirectionalMAE,DirectionalNormalizedMFE,DirectionalNormalizedMAE,DirectionalHit,HasDirection","Instrument,File,BarIndex,Time,MacroState,Quadruplet,ResolvedArchetype,ResolutionMethod,Similarity,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingDirectionalPresence,CurrentDirectionalEmergence,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue,Open,High,Low,Close,ActiveDirection,DirectionSign,PrevClose,TR,ATR14,HorizonBars,FutureClose,RawReturn,NormalizedReturn,SignedReturn,SignedNormalizedReturn,DirectionalMFE,DirectionalMAE,DirectionalNormalizedMFE,DirectionalNormalizedMAE,DirectionalHit,HasDirection",True,
KeySet,6454,55806,False,overlap=0
MeanSignedNormalizedReturn,0.05433474510893612,-0.017831182785600207,False,
MedianSignedNormalizedReturn,0.0,0.0,True,
DominantPressureCount:CompressionPressure,3965,35690,False,
DominantPressureCount:DirectionalReleasePressure,291,2148,False,
DominantPressureCount:RotationalPressure,2198,17968,False,
CandidateCount:Base_ES_NQ,364,1672,False,
CandidateCount:RRCCC,16,256,False,
CandidateCount:CCRRR,4,129,False,
CandidateCount:PriorSlope_DominantPressureValue_Q3,69,397,False,
